customer_id,customer_name,gender,age,city,state,join_date
C00001,Kai Borra,Male,36,Tenali,Assam,2021-08-15
C00002,Ekani Rastogi,Male,38,Madhyamgram,Punjab,2024-10-21
C00003,Daksha Srivastava,Male,65,Kalyan-Dombivli,Tamil Nadu,2023-10-11
C00004,Wakeeta Madan,Male,57,Mysore,Andhra Pradesh,2023-07-16
C00005,Brinda Sur,Female,44,Berhampore,Chhattisgarh,2025-04-16
C00006,Charles Khalsa,Female,28,Bulandshahr,Assam,2025-02-15
C00007,Advaith Prashad,Female,45,Coimbatore,West Bengal,2026-05-20
C00008,Ganga Krishnan,Female,30,Latur,Telangana,2022-03-27
C00009,Adya Deshpande,Female,54,Deoghar,Punjab,2025-03-01
C00010,Xalak Shan,Male,22,Rohtak,Goa,2022-04-14
C00011,Onkar De,Male,42,Noida,Arunachal Pradesh,2026-03-02
C00012,Veda Pal,Female,56,Burhanpur,Uttarakhand,2021-08-30
C00013,Tamanna Wadhwa,Male,39,Adoni,Madhya Pradesh,2026-02-17
C00014,Chandresh Nadig,Female,56,Thiruvananthapuram,Tamil Nadu,2022-03-07
C00015,Rushil Kurian,Male,44,Vijayanagaram,Andhra Pradesh,2021-08-09
C00016,Ubika Mishra,Male,21,Kurnool,Karnataka,2026-05-01
C00017,Varsha Patil,Male,66,Ghaziabad,Haryana,2025-07-27
C00018,Sai Sood,Female,25,Coimbatore,Andhra Pradesh,2025-07-15
C00019,Chameli Bhattacharyya,Male,43,Pali,West Bengal,2024-11-22
C00020,Yashasvi Muni,Female,20,Anantapuram,Nagaland,2023-08-26
C00021,Baghyawati Hans,Male,22,Shahjahanpur,Odisha,2024-12-13
C00022,Widisha Nagy,Female,26,Parbhani,Meghalaya,2023-11-19
C00023,Qarin Saran,Female,27,Varanasi,Manipur,2025-11-05
C00024,Baljiwan Bhatt,Male,21,Bettiah,Jharkhand,2025-09-12
C00025,Anita Wable,Male,38,Narasaraopet,Himachal Pradesh,2025-01-07
C00026,Daksha Pandey,Male,65,Siliguri,Rajasthan,2024-01-22
C00027,Baghyawati Choudhary,Male,58,Siwan,Assam,2021-09-25
C00028,Ekaja Bhavsar,Female,43,Amaravati,Jharkhand,2022-03-17
C00029,Gavin Saxena,Female,35,Haridwar,Telangana,2022-02-19
C00030,Nidhi Chaudhari,Female,50,Karaikudi,Tripura,2024-02-02
C00031,Yuvraj Keer,Male,69,Bhubaneswar,Kerala,2026-02-01
C00032,Pranit Chad,Male,49,Patna,Telangana,2023-10-08
C00033,Mitesh Patel,Female,27,Alappuzha,Tripura,2025-11-17
C00034,Omaja Mahal,Female,68,Guntakal,Tamil Nadu,2026-03-23
C00035,Bachittar Venkatesh,Male,70,Bangalore,Mizoram,2024-09-17
C00036,Panini Sehgal,Female,59,Karawal Nagar,Goa,2025-07-05
C00037,Kamala Tata,Male,34,Bellary,Odisha,2025-08-30
C00038,Janya Natt,Female,48,Amritsar,Tamil Nadu,2021-09-06
C00039,Forum Dalal,Male,18,Bidar,Nagaland,2021-09-09
C00040,Rachita Mane,Female,61,Secunderabad,Himachal Pradesh,2023-09-03
C00041,Azad Kumer,Female,39,Hajipur,Assam,2025-02-12
C00042,Zashil Sankaran,Female,26,Tirunelveli,Karnataka,2022-07-29
C00043,Zashil Tara,Female,70,Guntakal,Assam,2024-03-31
C00044,Aryan Chada,Female,22,Eluru,Manipur,2025-09-02
C00045,Warinder Ramanathan,Male,20,Amravati,Karnataka,2025-06-29
C00046,Janya Datta,Male,55,Saharsa,Bihar,2021-08-29
C00047,Girish Chaudhuri,Male,18,Aurangabad,Tripura,2023-01-27
C00048,Dayita Bains,Female,66,Vasai-Virar,Tripura,2025-10-12
C00049,Sathvik Comar,Female,31,Berhampore,Manipur,2022-02-14
C00050,Priya Raja,Female,38,Pondicherry,Kerala,2022-04-22
C00051,Yatin Chand,Female,24,Anand,Jharkhand,2024-03-28
C00052,Tanmayi Manne,Female,54,Farrukhabad,Assam,2026-02-21
C00053,Ansh Wagle,Male,37,Tinsukia,Sikkim,2025-12-21
C00054,Lila Aggarwal,Male,32,Raebareli,Uttarakhand,2025-10-15
C00055,Samaksh Deol,Male,19,Mehsana,Karnataka,2022-01-04
C00056,Max Krish,Male,54,Kumbakonam,Maharashtra,2021-09-30
C00057,Azaan Karpe,Female,52,Chennai,Goa,2024-12-12
C00058,Riya Mangat,Male,38,Dhule,Gujarat,2025-07-08
C00059,Dhruv Oommen,Female,48,Madhyamgram,Punjab,2023-01-08
C00060,Elijah Nadkarni,Female,61,Kharagpur,Karnataka,2025-04-19
C00061,Abeer Goswami,Male,54,Jhansi,Sikkim,2022-11-17
C00062,Upadhriti Natarajan,Female,33,Panipat,Mizoram,2024-09-14
C00063,Diya Arora,Female,27,Ambala,Goa,2025-03-07
C00064,Warda Ahuja,Female,70,Aurangabad,Punjab,2024-12-30
C00065,Pranit Singh,Male,21,Bathinda,Punjab,2024-11-22
C00066,Charvi Dutt,Male,66,Patiala,Meghalaya,2023-08-30
C00067,Ekalinga Dash,Female,29,Ongole,Tamil Nadu,2026-06-19
C00068,Samaksh Mammen,Male,20,Amravati,Kerala,2024-10-24
C00069,Gautam Babu,Female,60,Sultan Pur Majra,Tamil Nadu,2024-11-26
C00070,Falguni Contractor,Male,20,Gwalior,Tamil Nadu,2024-12-26
C00071,Vanya Chaudry,Female,25,Bulandshahr,Andhra Pradesh,2022-01-26
C00072,Nandini Sachar,Male,22,Belgaum,Arunachal Pradesh,2025-07-19
C00073,Agastya Bhalla,Male,29,Rourkela,Mizoram,2022-05-26
C00074,Siddharth Batta,Female,50,Sirsa,Gujarat,2025-06-25
C00075,Vritti Sem,Female,59,Bally,Andhra Pradesh,2026-02-22
C00076,Balvan Parmer,Female,68,Jabalpur,Haryana,2024-06-05
C00077,Priya Saxena,Male,36,Shivpuri,Mizoram,2026-04-12
C00078,Reva Apte,Female,20,Medininagar,Rajasthan,2026-04-22
C00079,Daniel Master,Female,22,Guntakal,Chhattisgarh,2022-06-27
C00080,Shivansh Deol,Male,42,Hyderabad,Rajasthan,2025-01-05
C00081,Indrajit Kumer,Male,33,Pali,Maharashtra,2022-05-01
